标题,图片,价格
"
                                        朗逸
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg,"
                                        
                                        9.99-16.19万
                                        
                                    "
"
                                        桑塔纳
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png,"
                                        
                                        8.69-11.59万
                                        
                                    "
"
                                        凌渡
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png,"
                                        
                                        14.29-19.69万
                                        
                                    "
"
                                        途岳
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png,"
                                        
                                        16.58-22.38万
                                        
                                    "
"
                                        帕萨特
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png,"
                                        
                                        18.49-28.29万
                                        
                                    "
"
                                        途观L
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png,"
                                        
                                        21.88-31.18万
                                        
                                    "
"
                                        途铠
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png,"
                                        
                                        11.49-15.99万
                                        
                                    "
"
                                        途昂
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png,"
                                        
                                        29.99-50.59万
                                        
                                    "
"
                                        明锐
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181218/557/0455285570_6.png,"
                                        
                                        9.99-16.14万
                                        
                                    "
"
                                        途观
                                    ",http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg,"
                                        
                                        19.48-23.18万
                                        
                                    "
"
                                        Polo
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg,"
                                        
                                        9.99-12.39万
                                        
                                    "
"
                                        辉昂
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png,"
                                        
                                        34.00-63.90万
                                        
                                    "
"
                                        柯米克
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191122/396/0129333964_6.jpg,"
                                        
                                        8.99-12.59万
                                        
                                    "
"
                                        途昂X
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg,"
                                        
                                        28.99-43.99万
                                        
                                    "
"
                                        速派
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190715/977/0600169772_6.jpg,"
                                        
                                        15.49-22.99万
                                        
                                    "
"
                                        威然
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200417/884/0409028847_6.jpg,"
                                        
                                        28.68-39.98万
                                        
                                    "
"
                                        柯迪亚克
                                    ",http://img3.bitautoimg.com/autoalbum/files/20181218/521/0519135211_6.png,"
                                        
                                        17.79-24.79万
                                        
                                    "
"
                                        柯珞克
                                    ",http://img4.bitautoimg.com/autoalbum/files/20181218/799/0526387997_6.png,"
                                        
                                        12.99-15.99万
                                        
                                    "
"
                                        途安L
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/868/0957468688_6.png,"
                                        
                                        15.18-19.48万
                                        
                                    "
"
                                        昕锐
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200213/696/0827076965_6.jpg,"
                                        
                                        7.34-10.64万
                                        
                                    "
"
                                        途观L 插电混动
                                    ",http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png,"
                                        
                                        26.58-32.58万
                                        
                                    "
"
                                        帕萨特 插电混动
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190122/077/0932250776_6.png,"
                                        
                                        24.39-25.39万
                                        
                                    "
"
                                        柯迪亚克GT
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181022/310/1120173107_6.png,"
                                        
                                        17.99-24.79万
                                        
                                    "
"
                                        昕动
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200312/677/0441496778_6.jpg,"
                                        
                                        7.14-10.99万
                                        
                                    "
"
                                        朗逸纯电
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190326/692/0551096920_6.png,"
                                        
                                        14.89万
                                        
                                    "
"
                                        晶锐
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190122/134/0930141345_6.png,"
                                        
                                        6.99-10.99万
                                        
                                    "
"
                                        上汽大众ID.
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200618/833/0614338331_6.jpg,"
                                        
                                            未上市
                                        
                                    "
"
                                        途观X
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200722/882/0311498828_6.jpg,"
                                        
                                            未上市
                                        
                                    "
"
                                        途岳纯电
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191217/922/0225269225_6.jpg,"
                                        
                                            未上市
                                        
                                    "
"
                                        VISION GT
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190603/782/0949037827_6.jpg,"
                                        
                                            未上市
                                        
                                    "
"
                                        明锐(进口)
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191112/620/1032036208_6.jpg,"
                                        
                                            未上市
                                        
                                    "
